,author,date,review,rating,cleaned_review,Reviews_Token,Reviews_Lemm
2,Karlee Bamford,2 years ago,today two extremely different interactions employees branch one call jestina reprimanded poor customer service others said reviews apparently dropped credit card someone found turned branch received super friendly helpful phone call branch saying found could come time closing debit card id claim went get made feel like crazy trying steal someone else card impossible card handed teller called jestina incredibly rude listen times tried tell lost found situation collect newly issued credit card finally got info extremely annoyed tell looking wrong place whole time told next time bank called anyone called matter record name phone number simply way could help situation without information asked probably times called called three tellers standing either side staring giving sympathetic eyes finally person front entrance desk came coffee break wow problems immediately resolved card returned incredibly unnecessarily frustrating,1,today two extrem differ interact employe branch one call jestina reprimand poor custom servic other said review appar drop credit card someon found turn branch receiv super friendli help phone call branch say found could come time close debit card id claim went get made feel like crazi tri steal someon els card imposs card hand teller call jestina incred rude listen time tri tell lost found situat collect newli issu credit card final got info extrem annoy tell look wrong place whole time told next time bank call anyon call matter record name phone number simpli way could help situat without inform ask probabl time call call three teller stand either side stare give sympathet eye final person front entranc desk came coffe break wow problem immedi resolv card return incred unnecessarili frustrat,"['today', 'two', 'extremely', 'different', 'interactions', 'employees', 'branch', 'one', 'call', 'jestina', 'reprimanded', 'poor', 'customer', 'service', 'others', 'said', 'reviews', 'apparently', 'dropped', 'credit', 'card', 'someone', 'found', 'turned', 'branch', 'received', 'super', 'friendly', 'helpful', 'phone', 'call', 'branch', 'saying', 'found', 'could', 'come', 'time', 'closing', 'debit', 'card', 'id', 'claim', 'went', 'get', 'made', 'feel', 'like', 'crazy', 'trying', 'steal', 'someone', 'else', 'card', 'impossible', 'card', 'handed', 'teller', 'called', 'jestina', 'incredibly', 'rude', 'listen', 'times', 'tried', 'tell', 'lost', 'found', 'situation', 'collect', 'newly', 'issued', 'credit', 'card', 'finally', 'got', 'info', 'extremely', 'annoyed', 'tell', 'looking', 'wrong', 'place', 'whole', 'time', 'told', 'next', 'time', 'bank', 'called', 'anyone', 'called', 'matter', 'record', 'name', 'phone', 'number', 'simply', 'way', 'could', 'help', 'situation', 'without', 'information', 'asked', 'probably', 'times', 'called', 'called', 'three', 'tellers', 'standing', 'either', 'side', 'staring', 'giving', 'sympathetic', 'eyes', 'finally', 'person', 'front', 'entrance', 'desk', 'came', 'coffee', 'break', 'wow', 'problems', 'immediately', 'resolved', 'card', 'returned', 'incredibly', 'unnecessarily', 'frustrating']","['today', 'two', 'extremely', 'different', 'interaction', 'employee', 'branch', 'one', 'call', 'jestina', 'reprimand', 'poor', 'customer', 'service', 'others', 'say', 'review', 'apparently', 'drop', 'credit', 'card', 'someone', 'find', 'turn', 'branch', 'receive', 'super', 'friendly', 'helpful', 'phone', 'call', 'branch', 'say', 'find', 'could', 'come', 'time', 'close', 'debit', 'card', 'id', 'claim', 'go', 'get', 'make', 'feel', 'like', 'crazy', 'try', 'steal', 'someone', 'else', 'card', 'impossible', 'card', 'hand', 'teller', 'call', 'jestina', 'incredibly', 'rude', 'listen', 'time', 'try', 'tell', 'lose', 'find', 'situation', 'collect', 'newly', 'issue', 'credit', 'card', 'finally', 'get', 'info', 'extremely', 'annoy', 'tell', 'look', 'wrong', 'place', 'whole', 'time', 'tell', 'next', 'time', 'bank', 'call', 'anyone', 'call', 'matter', 'record', 'name', 'phone', 'number', 'simply', 'way', 'could', 'help', 'situation', 'without', 'information', 'ask', 'probably', 'time', 'call', 'call', 'three', 'teller', 'stand', 'either', 'side', 'star', 'give', 'sympathetic', 'eye', 'finally', 'person', 'front', 'entrance', 'desk', 'come', 'coffee', 'break', 'wow', 'problem', 'immediately', 'resolve', 'card', 'return', 'incredibly', 'unnecessarily', 'frustrate']"
3,Finance Horse,3 years ago,turned away branch twice saying advisor available attend also said cannot book appointment another branch even though possible customer service requests declined intention solve customer issues retain business,1,turn away branch twice say advisor avail attend also said cannot book appoint anoth branch even though possibl custom servic request declin intent solv custom issu retain busi,"['turned', 'away', 'branch', 'twice', 'saying', 'advisor', 'available', 'attend', 'also', 'said', 'cannot', 'book', 'appointment', 'another', 'branch', 'even', 'though', 'possible', 'customer', 'service', 'requests', 'declined', 'intention', 'solve', 'customer', 'issues', 'retain', 'business']","['turn', 'away', 'branch', 'twice', 'say', 'advisor', 'available', 'attend', 'also', 'say', 'cannot', 'book', 'appointment', 'another', 'branch', 'even', 'though', 'possible', 'customer', 'service', 'request', 'decline', 'intention', 'solve', 'customer', 'issue', 'retain', 'business']"
4,Adam O'Brien,5 years ago,absolutely terrible bank rude customer service reps lift finger go way help student every year switch bank account back regular account without warning end paying service fees absolutely refuse even give heads top branch hours ridiculous often closing pm weekdays limited saturday hours sunday hours virtually banks sunday hours terrible bank go td want half decent bank,1,absolut terribl bank rude custom servic rep lift finger go way help student everi year switch bank account back regular account without warn end pay servic fee absolut refus even give head top branch hour ridicul often close pm weekday limit saturday hour sunday hour virtual bank sunday hour terribl bank go td want half decent bank,"['absolutely', 'terrible', 'bank', 'rude', 'customer', 'service', 'reps', 'lift', 'finger', 'go', 'way', 'help', 'student', 'every', 'year', 'switch', 'bank', 'account', 'back', 'regular', 'account', 'without', 'warning', 'end', 'paying', 'service', 'fees', 'absolutely', 'refuse', 'even', 'give', 'heads', 'top', 'branch', 'hours', 'ridiculous', 'often', 'closing', 'pm', 'weekdays', 'limited', 'saturday', 'hours', 'sunday', 'hours', 'virtually', 'banks', 'sunday', 'hours', 'terrible', 'bank', 'go', 'td', 'want', 'half', 'decent', 'bank']","['absolutely', 'terrible', 'bank', 'rude', 'customer', 'service', 'rep', 'lift', 'finger', 'go', 'way', 'help', 'student', 'every', 'year', 'switch', 'bank', 'account', 'back', 'regular', 'account', 'without', 'warn', 'end', 'pay', 'service', 'fee', 'absolutely', 'refuse', 'even', 'give', 'head', 'top', 'branch', 'hour', 'ridiculous', 'often', 'close', 'pm', 'weekday', 'limit', 'saturday', 'hour', 'sunday', 'hour', 'virtually', 'bank', 'sunday', 'hour', 'terrible', 'bank', 'go', 'td', 'want', 'half', 'decent', 'bank']"
5,Edward (Kawaii Reviews and More),4 years ago,customer service goes die worst experience branch manager norman complete utter disregard customers concerns inquiries falsely charged purchases authorized behalf unable provide appropriate guidance simply told speak agent phone still hold nearly minutes speaking help whatsoever resolve issue branch one located scarborough town centre dreams end customer service disaster,1,custom servic goe die worst experi branch manag norman complet utter disregard custom concern inquiri fals charg purchas author behalf unabl provid appropri guidanc simpli told speak agent phone still hold nearli minut speak help whatsoev resolv issu branch one locat scarborough town centr dream end custom servic disast,"['customer', 'service', 'goes', 'die', 'worst', 'experience', 'branch', 'manager', 'norman', 'complete', 'utter', 'disregard', 'customers', 'concerns', 'inquiries', 'falsely', 'charged', 'purchases', 'authorized', 'behalf', 'unable', 'provide', 'appropriate', 'guidance', 'simply', 'told', 'speak', 'agent', 'phone', 'still', 'hold', 'nearly', 'minutes', 'speaking', 'help', 'whatsoever', 'resolve', 'issue', 'branch', 'one', 'located', 'scarborough', 'town', 'centre', 'dreams', 'end', 'customer', 'service', 'disaster']","['customer', 'service', 'go', 'die', 'bad', 'experience', 'branch', 'manager', 'norman', 'complete', 'utter', 'disregard', 'customer', 'concern', 'inquiry', 'falsely', 'charge', 'purchase', 'authorize', 'behalf', 'unable', 'provide', 'appropriate', 'guidance', 'simply', 'tell', 'speak', 'agent', 'phone', 'still', 'hold', 'nearly', 'minute', 'speak', 'help', 'whatsoever', 'resolve', 'issue', 'branch', 'one', 'locate', 'scarborough', 'town', 'centre', 'dream', 'end', 'customer', 'service', 'disaster']"
6,Jennifer Fernandes,6 years ago,poor service went last saturday add husband account told service needed done home branch went home branch today asked teller told could done branch branch staff unmotivated would expect better service bank especially scotiabank lie customer avoid task part role unprofessional,1,poor servic went last saturday add husband account told servic need done home branch went home branch today ask teller told could done branch branch staff unmotiv would expect better servic bank especi scotiabank lie custom avoid task part role unprofession,"['poor', 'service', 'went', 'last', 'saturday', 'add', 'husband', 'account', 'told', 'service', 'needed', 'done', 'home', 'branch', 'went', 'home', 'branch', 'today', 'asked', 'teller', 'told', 'could', 'done', 'branch', 'branch', 'staff', 'unmotivated', 'would', 'expect', 'better', 'service', 'bank', 'especially', 'scotiabank', 'lie', 'customer', 'avoid', 'task', 'part', 'role', 'unprofessional']","['poor', 'service', 'go', 'last', 'saturday', 'add', 'husband', 'account', 'tell', 'service', 'need', 'do', 'home', 'branch', 'go', 'home', 'branch', 'today', 'ask', 'teller', 'told', 'could', 'do', 'branch', 'branch', 'staff', 'unmotivated', 'would', 'expect', 'good', 'service', 'bank', 'especially', 'scotiabank', 'lie', 'customer', 'avoid', 'task', 'part', 'role', 'unprofessional']"
7,Sergio Marino,3 years ago,bad teller wanted make deposit line credit wanted know balance outstanding remaining scotia visa pin scotia bank card give started asking questions balances cards get answers wanted said verify told driver license said good enough omg joke branch,1,bad teller want make deposit line credit want know balanc outstand remain scotia visa pin scotia bank card give start ask question balanc card get answer want said verifi told driver licens said good enough omg joke branch,"['bad', 'teller', 'wanted', 'make', 'deposit', 'line', 'credit', 'wanted', 'know', 'balance', 'outstanding', 'remaining', 'scotia', 'visa', 'pin', 'scotia', 'bank', 'card', 'give', 'started', 'asking', 'questions', 'balances', 'cards', 'get', 'answers', 'wanted', 'said', 'verify', 'told', 'driver', 'license', 'said', 'good', 'enough', 'omg', 'joke', 'branch']","['bad', 'teller', 'want', 'make', 'deposit', 'line', 'credit', 'want', 'know', 'balance', 'outstanding', 'remain', 'scotia', 'visa', 'pin', 'scotia', 'bank', 'card', 'give', 'start', 'ask', 'question', 'balance', 'card', 'get', 'answer', 'want', 'say', 'verify', 'tell', 'driver', 'license', 'say', 'good', 'enough', 'omg', 'joke', 'branch']"
8,Rosemarie Taylor,3 years ago,amazing financial institution loyal happy scotiabank client banking days scotiabank branch bloor street west beyond high expectations excellent professional service incredible staff immense thanks mr david kim always providing us best financial advice friend manner branch always seems attract select best staff branch members financial advisors thanks dan dillon team rosemarie stephen taylor,5,amaz financi institut loyal happi scotiabank client bank day scotiabank branch bloor street west beyond high expect excel profession servic incred staff immens thank mr david kim alway provid us best financi advic friend manner branch alway seem attract select best staff branch member financi advisor thank dan dillon team rosemari stephen taylor,"['amazing', 'financial', 'institution', 'loyal', 'happy', 'scotiabank', 'client', 'banking', 'days', 'scotiabank', 'branch', 'bloor', 'street', 'west', 'beyond', 'high', 'expectations', 'excellent', 'professional', 'service', 'incredible', 'staff', 'immense', 'thanks', 'mr', 'david', 'kim', 'always', 'providing', 'us', 'best', 'financial', 'advice', 'friend', 'manner', 'branch', 'always', 'seems', 'attract', 'select', 'best', 'staff', 'branch', 'members', 'financial', 'advisors', 'thanks', 'dan', 'dillon', 'team', 'rosemarie', 'stephen', 'taylor']","['amaze', 'financial', 'institution', 'loyal', 'happy', 'scotiabank', 'client', 'banking', 'day', 'scotiabank', 'branch', 'bloor', 'street', 'west', 'beyond', 'high', 'expectation', 'excellent', 'professional', 'service', 'incredible', 'staff', 'immense', 'thanks', 'mr', 'david', 'kim', 'always', 'provide', 'us', 'best', 'financial', 'advice', 'friend', 'manner', 'branch', 'always', 'seem', 'attract', 'select', 'best', 'staff', 'branch', 'member', 'financial', 'advisor', 'thanks', 'dan', 'dillon', 'team', 'rosemarie', 'stephen', 'taylor']"
9,D Ding,4 years ago,branch lot staff think manager manages logistics well tooo slow waiting service reception mind ppl front start queue even mention scotiabank always enough branches close early staff nice poor knowledge,1,branch lot staff think manag manag logist well tooo slow wait servic recept mind ppl front start queue even mention scotiabank alway enough branch close earli staff nice poor knowledg,"['branch', 'lot', 'staff', 'think', 'manager', 'manages', 'logistics', 'well', 'tooo', 'slow', 'waiting', 'service', 'reception', 'mind', 'ppl', 'front', 'start', 'queue', 'even', 'mention', 'scotiabank', 'always', 'enough', 'branches', 'close', 'early', 'staff', 'nice', 'poor', 'knowledge']","['branch', 'lot', 'staff', 'think', 'manager', 'manages', 'logistics', 'well', 'tooo', 'slow', 'wait', 'service', 'reception', 'mind', 'ppl', 'front', 'start', 'queue', 'even', 'mention', 'scotiabank', 'always', 'enough', 'branch', 'close', 'early', 'staff', 'nice', 'poor', 'knowledge']"
10,Sule McGowan,4 years ago,simple task getting change wanted bills tips upcoming event couple gave rest rather getting teller sitting next someone else asked go back line rude manner time line really long basic customer service culture branch,1,simpl task get chang want bill tip upcom event coupl gave rest rather get teller sit next someon els ask go back line rude manner time line realli long basic custom servic cultur branch,"['simple', 'task', 'getting', 'change', 'wanted', 'bills', 'tips', 'upcoming', 'event', 'couple', 'gave', 'rest', 'rather', 'getting', 'teller', 'sitting', 'next', 'someone', 'else', 'asked', 'go', 'back', 'line', 'rude', 'manner', 'time', 'line', 'really', 'long', 'basic', 'customer', 'service', 'culture', 'branch']","['simple', 'task', 'get', 'change', 'want', 'bill', 'tip', 'upcoming', 'event', 'couple', 'give', 'rest', 'rather', 'get', 'teller', 'sit', 'next', 'someone', 'else', 'ask', 'go', 'back', 'line', 'rude', 'manner', 'time', 'line', 'really', 'long', 'basic', 'customer', 'service', 'culture', 'branch']"
12,Boyan Lepoev,2 years ago,already feel pity looking scotiabank products star deceptive targeted marketing followed breaking promise original email dodging calls branch feature particularly helpful people either including manager seems absolutely powerless provide actual customer service response valid complaints happy provide proof whoever cares stay away institution go one banks,1,alreadi feel piti look scotiabank product star decept target market follow break promis origin email dodg call branch featur particularli help peopl either includ manag seem absolut powerless provid actual custom servic respons valid complaint happi provid proof whoever care stay away institut go one bank,"['already', 'feel', 'pity', 'looking', 'scotiabank', 'products', 'star', 'deceptive', 'targeted', 'marketing', 'followed', 'breaking', 'promise', 'original', 'email', 'dodging', 'calls', 'branch', 'feature', 'particularly', 'helpful', 'people', 'either', 'including', 'manager', 'seems', 'absolutely', 'powerless', 'provide', 'actual', 'customer', 'service', 'response', 'valid', 'complaints', 'happy', 'provide', 'proof', 'whoever', 'cares', 'stay', 'away', 'institution', 'go', 'one', 'banks']","['already', 'feel', 'pity', 'look', 'scotiabank', 'product', 'star', 'deceptive', 'target', 'marketing', 'follow', 'break', 'promise', 'original', 'email', 'dodge', 'call', 'branch', 'feature', 'particularly', 'helpful', 'people', 'either', 'include', 'manager', 'seem', 'absolutely', 'powerless', 'provide', 'actual', 'customer', 'service', 'response', 'valid', 'complaint', 'happy', 'provide', 'proof', 'whoever', 'care', 'stay', 'away', 'institution', 'go', 'one', 'bank']"
13,Prasoeur Suon,a year ago,worst first set appointment employee stopped working second employee day appointment rate higher institutions sure branch scotiabank general like business poor service,1,worst first set appoint employe stop work second employe day appoint rate higher institut sure branch scotiabank gener like busi poor servic,"['worst', 'first', 'set', 'appointment', 'employee', 'stopped', 'working', 'second', 'employee', 'day', 'appointment', 'rate', 'higher', 'institutions', 'sure', 'branch', 'scotiabank', 'general', 'like', 'business', 'poor', 'service']","['bad', 'first', 'set', 'appointment', 'employee', 'stop', 'work', 'second', 'employee', 'day', 'appointment', 'rate', 'high', 'institution', 'sure', 'branch', 'scotiabank', 'general', 'like', 'business', 'poor', 'service']"
14,Luke Maynard,2 years ago,edit first moved called toxic branch impossible hours know come new management branch completely renovated transformed top bottom given best extended hours bank branch anywhere toronto least favourite branch space two years completely turned around highly recommended last months let hope keep everything great reviews point used like,5,edit first move call toxic branch imposs hour know come new manag branch complet renov transform top bottom given best extend hour bank branch anywher toronto least favourit branch space two year complet turn around highli recommend last month let hope keep everyth great review point use like,"['edit', 'first', 'moved', 'called', 'toxic', 'branch', 'impossible', 'hours', 'know', 'come', 'new', 'management', 'branch', 'completely', 'renovated', 'transformed', 'top', 'bottom', 'given', 'best', 'extended', 'hours', 'bank', 'branch', 'anywhere', 'toronto', 'least', 'favourite', 'branch', 'space', 'two', 'years', 'completely', 'turned', 'around', 'highly', 'recommended', 'last', 'months', 'let', 'hope', 'keep', 'everything', 'great', 'reviews', 'point', 'used', 'like']","['edit', 'first', 'move', 'call', 'toxic', 'branch', 'impossible', 'hour', 'know', 'come', 'new', 'management', 'branch', 'completely', 'renovate', 'transformed', 'top', 'bottom', 'give', 'best', 'extended', 'hour', 'bank', 'branch', 'anywhere', 'toronto', 'least', 'favourite', 'branch', 'space', 'two', 'year', 'completely', 'turn', 'around', 'highly', 'recommend', 'last', 'month', 'let', 'hope', 'keep', 'everything', 'great', 'review', 'point', 'use', 'like']"
15,M M,4 years ago,terrible service unprofessional told look bank products online teller would ever say customer branch going branch face face interaction know bank products need ask customer look online terrible way resolve inquiry called line go desk ready help fidgeting money tasks would fine wait line teller ready help yet instead called go still working unfinished tasks standing another minutes initial question poorly trained staff perhaps unlucky day visiting scotiabank branch,1,terribl servic unprofession told look bank product onlin teller would ever say custom branch go branch face face interact know bank product need ask custom look onlin terribl way resolv inquiri call line go desk readi help fidget money task would fine wait line teller readi help yet instead call go still work unfinish task stand anoth minut initi question poorli train staff perhap unlucki day visit scotiabank branch,"['terrible', 'service', 'unprofessional', 'told', 'look', 'bank', 'products', 'online', 'teller', 'would', 'ever', 'say', 'customer', 'branch', 'going', 'branch', 'face', 'face', 'interaction', 'know', 'bank', 'products', 'need', 'ask', 'customer', 'look', 'online', 'terrible', 'way', 'resolve', 'inquiry', 'called', 'line', 'go', 'desk', 'ready', 'help', 'fidgeting', 'money', 'tasks', 'would', 'fine', 'wait', 'line', 'teller', 'ready', 'help', 'yet', 'instead', 'called', 'go', 'still', 'working', 'unfinished', 'tasks', 'standing', 'another', 'minutes', 'initial', 'question', 'poorly', 'trained', 'staff', 'perhaps', 'unlucky', 'day', 'visiting', 'scotiabank', 'branch']","['terrible', 'service', 'unprofessional', 'tell', 'look', 'bank', 'product', 'online', 'teller', 'would', 'ever', 'say', 'customer', 'branch', 'go', 'branch', 'face', 'face', 'interaction', 'know', 'bank', 'product', 'need', 'ask', 'customer', 'look', 'online', 'terrible', 'way', 'resolve', 'inquiry', 'call', 'line', 'go', 'desk', 'ready', 'help', 'fidget', 'money', 'task', 'would', 'fine', 'wait', 'line', 'teller', 'ready', 'help', 'yet', 'instead', 'call', 'go', 'still', 'work', 'unfinished', 'task', 'stand', 'another', 'minute', 'initial', 'question', 'poorly', 'trained', 'staff', 'perhaps', 'unlucky', 'day', 'visit', 'scotiabank', 'branch']"
16,Mike B,a year ago,teller told us show minutes close finished transaction employee yelled us ushered us wrong location calling head office report behaviour clients joke,1,teller told us show minut close finish transact employe yell us usher us wrong locat call head offic report behaviour client joke,"['teller', 'told', 'us', 'show', 'minutes', 'close', 'finished', 'transaction', 'employee', 'yelled', 'us', 'ushered', 'us', 'wrong', 'location', 'calling', 'head', 'office', 'report', 'behaviour', 'clients', 'joke']","['teller', 'tell', 'us', 'show', 'minute', 'close', 'finished', 'transaction', 'employee', 'yell', 'us', 'usher', 'us', 'wrong', 'location', 'call', 'head', 'office', 'report', 'behaviour', 'client', 'joke']"
17,V K,4 years ago,inconvenient hours unhelpful inflexible staff credit cards mortgage thru based deplorable customer service received never business going insist visit branch every tiny thing need make hours realistic working professional make bank,1,inconveni hour unhelp inflex staff credit card mortgag thru base deplor custom servic receiv never busi go insist visit branch everi tini thing need make hour realist work profession make bank,"['inconvenient', 'hours', 'unhelpful', 'inflexible', 'staff', 'credit', 'cards', 'mortgage', 'thru', 'based', 'deplorable', 'customer', 'service', 'received', 'never', 'business', 'going', 'insist', 'visit', 'branch', 'every', 'tiny', 'thing', 'need', 'make', 'hours', 'realistic', 'working', 'professional', 'make', 'bank']","['inconvenient', 'hour', 'unhelpful', 'inflexible', 'staff', 'credit', 'card', 'mortgage', 'thru', 'base', 'deplorable', 'customer', 'service', 'receive', 'never', 'business', 'go', 'insist', 'visit', 'branch', 'every', 'tiny', 'thing', 'need', 'make', 'hour', 'realistic', 'work', 'professional', 'make', 'bank']"
